Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",46,Month of end of overall time interval,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",47,Day of end of overall time interval,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",48,Hour of end of overall time interval,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",49,Minute of end of overall time interval,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",50,Second of end of overall time interval,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",51,n - number of time range specifications describing the time intervals used to calculate the statistically processed field,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",52-55,Total number of data values missing in statistical process,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,56-67   Specification of the outermost (or only) time range over which statistical processing is done,,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",56,Statistical process used to calculate the processed field from the field at each time increment during the time range,(see Code table 4.10),,4.10,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",57,Type of time increment between successive fields used in the statistical processing,(see Code table 4.11),,4.11,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",58,Indicator of unit of time for time range over which statistical processing is done,(see Code table 4.4),,4.4,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",59-62,"Length of the time range over which statistical processing is done, in units defined by the previous octet",,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",63,Indicator of unit of time for the increment between the successive fields used,(see Code table 4.4),,4.4,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",64-67,"Time increment between successive fields, in units defined by the previous octet",(see Notes 3 and 4),"7,99",,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"68-nn   These octets are included only if n > 1, where nn = 55 + 12 x n",,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",68-79,"As octets 56 to 67, next innermost step of processing",,,,,Operational
"Individual large ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",80-nn,"Additional time range specifications, included in accordance with the value of n. Contents as octets 56 to 67, repeated as necessary",,,,,Operational
