row #,allNotes,template,octet,appliesTo,noteID-PDF,note-GitHub,myComment
1013,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,56-59,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1014,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,60-63,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1015,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,64-67,octet,1,(see Notes 1 and 5),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1016,It is recommended to use unsigned direction increments.,GRIB2_Template_3_0_GridDefinitionTemplate_en,64-67,octet,5,(see Notes 1 and 5),
1017,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_0_GridDefinitionTemplate_en,68-71,octet,1,(see Notes 1 and 5),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1018,It is recommended to use unsigned direction increments.,GRIB2_Template_3_0_GridDefinitionTemplate_en,68-71,octet,5,(see Notes 1 and 5),
1019,(see Flag table 3.4),GRIB2_Template_3_0_GridDefinitionTemplate_en,72,octet,n/a,(flags - see Flag table 3.4),
1020,(These octets are only present for quasi-regular grids as described in Notes 2 and 3),GRIB2_Template_3_0_GridDefinitionTemplate_en,73-nn,octet,n/a,(These octets are only present for quasi-regular grids as described in Notes 2 and 3),
1021,"For data on a quasi-regular grid, where all the rows or columns do not necessarily have the same number of grid points, either Ni (octets 31-34) or Nj (octets 35-38) and the corresponding Di (octets 64-67) or Dj (octets 68-71) shall be coded with all bits set to 1 (missing). The actual number of points along each parallel or meridian shall be coded in the octets immediately following the grid definition template (octets [xx+1]-nn), as described in the description of the grid definition section",GRIB2_Template_3_0_GridDefinitionTemplate_en,73-nn,octet,2,(These octets are only present for quasi-regular grids as described in Notes 2 and 3),
1022,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_0_GridDefinitionTemplate_en,73-nn,octet,3,(These octets are only present for quasi-regular grids as described in Notes 2 and 3),
1023,"A scaled value of radius of spherical Earth, or major or minor axis of oblate spheroid Earth, is derived by applying the appropriate scale factor to the value expressed in metres.",GRIB2_Template_3_0_GridDefinitionTemplate_en,n/a,tbd,4,n/a,
1024,"In most cases, multiplying Ni (octets 31-34) by Nj (octets 35-38) yields the total number of points in the grid. However, this may not be true if bit 8 of the scanning mode flags (octet 72) is set to 1.",GRIB2_Template_3_0_GridDefinitionTemplate_en,n/a,tbd,6,n/a,
1025,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_1_GridDefinitionTemplate_en,15-72,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1026,"Three parameters define a general latitude/longitude coordinate system, formed by a general rotation of the sphere. One choice for these parameters is: (a) The geographic latitude in degrees of the southern pole of the coordinate system, θp for example; (b) The geographic longitude in degrees of the southern pole of the coordinate system, λp for example; (c) The angle of rotation in degrees about the new polar axis (measured clockwise when looking from the southern to the northern pole) of the coordinate system, assuming the new axis to have been obtained by first rotating the sphere through λp degrees about the geographic polar axis, and then rotating through (90 + θp) degrees so that the southern pole moved along the (previously rotated) Greenwich meridian.",GRIB2_Template_3_1_GridDefinitionTemplate_en,n/a,tbd,2,n/a,has non-encoded characters
1027,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_1_GridDefinitionTemplate_en,85-nn,octet,3,n/a,
1028,(These octets are only present for quasi-regular grids as described in Note 3),GRIB2_Template_3_1_GridDefinitionTemplate_en,85-nn,octet,3,(These octets are only present for quasi-regular grids as described in Note 3),references note in different template
1029,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_2_GridDefinitionTemplate_en,15-72,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1030,(These octets are only present for quasi-regular grids as described in Note 3),GRIB2_Template_3_2_GridDefinitionTemplate_en,85-nn,octet,n/a,(These octets are only present for quasi-regular grids as described in Note 3),references note in different template
1031,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_2_GridDefinitionTemplate_en,85-nn,octet,3,(These octets are only present for quasi-regular grids as described in Note 3),"used to reference note in in 3.0, now it's a copy"
1032,"The stretching is defined by three parameters: (a) The latitude in degrees (measured in the model coordinate system) of the ""pole of stretching""; (b) The longitude in degrees (measured in the model coordinate system) of the ""pole of stretching""; and (c) The stretching factor C in units of 10-6 represented as an integer. The stretching is defined by representing data uniformly in a coordinate system with longitude λ and latitude θ1, where: [[enter mathematical formula]] and λ and θ are longitude and latitude in a coordinate system in which the ""pole of stretching"" is the northern pole. C = 1 gives uniform resolution, while C > 1 gives enhanced resolution around the pole of stretching.",GRIB2_Template_3_2_GridDefinitionTemplate_en,n/a,tbd,2,n/a,has non-encoded characters
1033,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_2_GridDefinitionTemplate_en,n/a,tbd,3,n/a,"used to reference note in in 3.0, now it's a copy"
1034,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_3_GridDefinitionTemplate_en,15-72,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1035,"See Note 2 under grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée).",GRIB2_Template_3_3_GridDefinitionTemplate_en,n/a,tbd,2,n/a,references note in different template
1036,"See Note 2 under grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée).",GRIB2_Template_3_3_GridDefinitionTemplate_en,n/a,tbd,3,n/a,references note in different template
1037,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_3_GridDefinitionTemplate_en,n/a,tbd,4,n/a,"used to reference note in in 3.0, now it's a copy"
1038,(These octets are only present for quasi-regular grids as described in Note 4),GRIB2_Template_3_3_GridDefinitionTemplate_en,97-nn,octet,n/a,(These octets are only present for quasi-regular grids as described in Note 4),references note in different template
1039,"A quasi-regular grid is only defined for appropriate grid scanning modes. Either rows or columns, but not both simultaneously, may have variable numbers of points or variable spacing. The first point in each row (column) shall be positioned at the meridian (parallel) indicated by octets 47-54. The grid points shall be evenly spaced in latitude (longitude).",GRIB2_Template_3_3_GridDefinitionTemplate_en,97-nn,octet,4,(These octets are only present for quasi-regular grids as described in Note 4),"used to reference note in in 3.0, now it's a copy"
1040,(see Code table 3.2),GRIB2_Template_3_4_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1041,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_4_GridDefinitionTemplate_en,39-42,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1042,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_4_GridDefinitionTemplate_en,43-46,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1043,(see Flag table 3.3),GRIB2_Template_3_4_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3 and Note 2),
1044,The resolution flags (bits 3-4 of Flag table 3.3) are not applicable.,GRIB2_Template_3_4_GridDefinitionTemplate_en,47,octet,2,(see Flag table 3.3 and Note 2),
1045,(see Flag table 3.4),GRIB2_Template_3_4_GridDefinitionTemplate_en,48,octet,n/a,(flags - see Flag table 3.4),
1046,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_4_GridDefinitionTemplate_en,49-ii,octet,1,(see Notes 1 and 3),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1047,"The list of Ni longitudes and Nj latitudes shall be coded in the octets immediately following the grid definition template in octets 49 to ii and octets ii+1 to jj respectively, where ii = 48 + 4Ni and jj = 48 + 4Ni + 4Nj.",GRIB2_Template_3_4_GridDefinitionTemplate_en,49-ii,octet,3,(see Notes 1 and 3),
1048,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_4_GridDefinitionTemplate_en,(ii+1)-jj,octet,1,(see Notes 1 and 3),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1049,"The list of Ni longitudes and Nj latitudes shall be coded in the octets immediately following the grid definition template in octets 49 to ii and octets ii+1 to jj respectively, where ii = 48 + 4Ni and jj = 48 + 4Ni + 4Nj.",GRIB2_Template_3_4_GridDefinitionTemplate_en,(ii+1)-jj,octet,3,(see Notes 1 and 3),
1050,"A scaled value of radius of spherical Earth, or major or minor axis of oblate spheroid Earth, is derived by applying the appropriate scale factor to the value expressed in metres.",GRIB2_Template_3_4_GridDefinitionTemplate_en,n/a,tbd,4,n/a,
1051,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_5_GridDefinitionTemplate_en,15-48,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1052,Regulation 92.1.6 applies.,GRIB2_Template_3_5_GridDefinitionTemplate_en,49-52,octet,4,(see Note 4),
1053,Regulation 92.1.6 applies.,GRIB2_Template_3_5_GridDefinitionTemplate_en,53-56,octet,4,(see Note 4),
1054,Regulation 92.1.6 applies.,GRIB2_Template_3_5_GridDefinitionTemplate_en,57-60,octet,4,(see Note 4),
1055,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_5_GridDefinitionTemplate_en,61-ii,octet,1,(see Notes 1 and 3),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1056,For the list of Ni longitude bounds and Nj latitude bounds at the end of the section: ii = 60 + 4Ni and jj = 60 + 4Ni +4Nj,GRIB2_Template_3_5_GridDefinitionTemplate_en,61-ii,octet,3,(see Notes 1 and 3),
1057,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_5_GridDefinitionTemplate_en,(ii+1)-jj,octet,1,(see Notes 1 and 3),modified note
1058,For the list of Ni longitude bounds and Nj latitude bounds at the end of the section: ii = 60 + 4Ni and jj = 60 + 4Ni +4Nj,GRIB2_Template_3_5_GridDefinitionTemplate_en,(ii+1)-jj,octet,3,(see Notes 1 and 3),
1059,"Three parameters define a general latitude/longitude coordinate system, formed by a general rotation of the sphere. One choice for these parameters is: (a) The geographic latitude in degrees of the southern pole of the coordinate system, θp for example; (b) The geographic longitude in degrees of the southern pole of the coordinate system, λp for example; (c) The angle of rotation in degrees about the new polar axis (measured clockwise when looking from the southern to the northern pole) of the coordinate system, assuming the new axis to have been obtained by first rotating the sphere through λp degrees about the geographic polar axis, and then rotating through (90 + θp) degrees so that the southern pole moved along the (previously rotated) Greenwich meridian.",GRIB2_Template_3_5_GridDefinitionTemplate_en,n/a,tbd,2,n/a,has non-encoded characters
1060,(see Code table 3.2),GRIB2_Template_3_10_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1061,(see Flag table 3.3),GRIB2_Template_3_10_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
1062,(see Flag table 3.4),GRIB2_Template_3_10_GridDefinitionTemplate_en,60,octet,n/a,(flags - see Flag table 3.4),
1063,Grid length is in units of 10-3 m at the latitude specified by LaD.,GRIB2_Template_3_10_GridDefinitionTemplate_en,65-68,octet,2,(see Note 2),
1064,Grid length is in units of 10-3 m at the latitude specified by LaD.,GRIB2_Template_3_10_GridDefinitionTemplate_en,69-72,octet,2,(see Note 2),
1065,(These octets are only present for quasi-regular grids as described in Notes 2 and 3 of grid definition template 3.1),GRIB2_Template_3_10_GridDefinitionTemplate_en,73-nn,octet,n/a,(These octets are only present for quasi-regular grids as described in Notes 2 and 3 of grid definition template 3.1),
1066,"Limited to the range of 0 to 90 degrees; if the angle of orientation of the grid is neither 0 nor 90 degrees, Di and Dj must be equal to each other.",GRIB2_Template_3_10_GridDefinitionTemplate_en,n/a,tbd,1,n/a,
1067,(see Code table 3.2),GRIB2_Template_3_12_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1068,(see Flag table 3.3),GRIB2_Template_3_12_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
1069,(see Flag table 3.4),GRIB2_Template_3_12_GridDefinitionTemplate_en,60,octet,n/a,(flags - see Flag table 3.4),
1070,/,GRIB2_Template_3_13_GridDefinitionTemplate_en,/,/,/,/,no notes
1071,(see Code table 3.2),GRIB2_Template_3_20_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1072,(see Flag table 3.3),GRIB2_Template_3_20_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3 and Note 1),
1073,The resolution flags (bits 3-4 of Flag table 3.3) are not applicable.,GRIB2_Template_3_20_GridDefinitionTemplate_en,47,octet,1,(see Flag table 3.3 and Note 1),
1074,LoV is the longitude value of the meridian which is parallel to the y-axis (or columns of the grid) along which latitude increases as the y-coordinate increases (the orientation longitude may or may not appear on a particular grid).,GRIB2_Template_3_20_GridDefinitionTemplate_en,52-55,octet,2,(see Note 2),
1075,Grid length is in units of 10-3 m at the latitude specified by LaD.,GRIB2_Template_3_20_GridDefinitionTemplate_en,56-59,octet,3,(see Note 3),
1076,Grid length is in units of 10-3 m at the latitude specified by LaD.,GRIB2_Template_3_20_GridDefinitionTemplate_en,60-63,octet,3,(see Note 3),
1077,(see Flag table 3.5),GRIB2_Template_3_20_GridDefinitionTemplate_en,64,octet,n/a,(see Flag table 3.5),
1078,(see Flag table 3.4),GRIB2_Template_3_20_GridDefinitionTemplate_en,65,octet,n/a,(see Flag table 3.4),
1079,Bit 2 of the projection flag is not applicable to the polar stereographic projection.,GRIB2_Template_3_20_GridDefinitionTemplate_en,n/a,tbd,4,n/a,
1080,"A scaled value of radius of spherical Earth, or major or minor axis of oblate spheroid Earth, is derived by applying the appropriate scale factor to the value expressed in metres.",GRIB2_Template_3_20_GridDefinitionTemplate_en,n/a,tbd,5,n/a,
1081,/,GRIB2_Template_3_23_GridDefinitionTemplate_en,/,/,/,/,no notes
1082,(see Code table 3.2),GRIB2_Template_3_30_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1083,(see Flag table 3.3),GRIB2_Template_3_30_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
1084,Grid length is in units of 10-3 m at the latitude specified by LaD.,GRIB2_Template_3_30_GridDefinitionTemplate_en,56-59,octet,1,(see Note 1),
1085,Grid length is in units of 10-3 m at the latitude specified by LaD.,GRIB2_Template_3_30_GridDefinitionTemplate_en,60-63,octet,1,(see Note 1),
1086,(see Flag table 3.5),GRIB2_Template_3_30_GridDefinitionTemplate_en,64,octet,n/a,(see Flag table 3.5),
1087,(see Flag table 3.4),GRIB2_Template_3_30_GridDefinitionTemplate_en,65,octet,n/a,(see Flag table 3.4),
1088,"If Latin 1 = Latin 2, then the projection is on a tangent cone.",GRIB2_Template_3_30_GridDefinitionTemplate_en,n/a,tbd,2,n/a,
1089,The resolution flags (bits 3-4 of Flag table 3.3) are not applicable.,GRIB2_Template_3_30_GridDefinitionTemplate_en,n/a,tbd,3,n/a,
1090,LoV is the longitude value of the meridian which is parallel to the y-axis (or columns of the grid) along which latitude increases as the y-coordinate increases (the orientation longitude may or may not appear on a particular grid).,GRIB2_Template_3_30_GridDefinitionTemplate_en,n/a,tbd,4,n/a,
1091,"A scaled value of radius of spherical Earth, or major or minor axis of oblate spheroid Earth, is derived by applying the appropriate scale factor to the value expressed in metres.",GRIB2_Template_3_30_GridDefinitionTemplate_en,n/a,tbd,5,n/a,
1092,(see Code table 3.2),GRIB2_Template_3_31_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1093,(see Flag table 3.3),GRIB2_Template_3_31_GridDefinitionTemplate_en,47,octet,n/a,(see Flag table 3.3),
1094,Grid length is in units of 10-3 m at the latitude specified by LaD.,GRIB2_Template_3_31_GridDefinitionTemplate_en,56-59,octet,1,(see Note 1),
1095,Grid length is in units of 10-3 m at the latitude specified by LaD.,GRIB2_Template_3_31_GridDefinitionTemplate_en,60-63,octet,1,(see Note 1),
1096,(see Flag table 3.5),GRIB2_Template_3_31_GridDefinitionTemplate_en,64,octet,n/a,(see Flag table 3.5),
1097,(see Flag table 3.4),GRIB2_Template_3_31_GridDefinitionTemplate_en,65,octet,n/a,(see Flag table 3.4),
1098,"If Latin 1 = Latin 2, then the projection is on a tangent cone.",GRIB2_Template_3_31_GridDefinitionTemplate_en,n/a,tbd,2,n/a,
1099,The resolution flags (bits 3-4 of Flag table 3.3) are not applicable.,GRIB2_Template_3_31_GridDefinitionTemplate_en,n/a,tbd,3,n/a,
1100,LoV is the longitude value of the meridian which is parallel to the y-axis (or columns of the grid) along which latitude increases as the y-coordinate increases (the orientation longitude may or may not appear on a particular grid).,GRIB2_Template_3_31_GridDefinitionTemplate_en,n/a,tbd,4,n/a,
1101,"A scaled value of radius of spherical Earth, or major or minor axis of oblate spheroid Earth, is derived by applying the appropriate scale factor to the value expressed in metres.",GRIB2_Template_3_31_GridDefinitionTemplate_en,n/a,tbd,5,n/a,
1102,/,GRIB2_Template_3_33_GridDefinitionTemplate_en,/,/,/,/,no notes
1103,(see Code table 3.2),GRIB2_Template_3_40_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1104,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_40_GridDefinitionTemplate_en,39-42,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1105,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_40_GridDefinitionTemplate_en,43-46,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1106,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_40_GridDefinitionTemplate_en,47-50,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1107,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_40_GridDefinitionTemplate_en,51-54,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1108,(see Flag table 3.3),GRIB2_Template_3_40_GridDefinitionTemplate_en,55,octet,n/a,(see Flag table 3.3),
1109,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_40_GridDefinitionTemplate_en,56-59,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
1110,"Basic angle of the initial production domain and subdivisions of this basic angle are provided to manage cases where the recommended unit of 10-6 degrees is not applicable to describe the longitudes and latitudes, and direction increments. For these descriptors, the unit is equal to the ratio of the basic angle and the subdivisions number. For ordinary cases, zero and missing values should be coded, equivalent to the respective values of 1 and 106 (10-6 degrees unit).",GRIB2_Template_3_40_GridDefinitionTemplate_en,60-63,octet,1,(see Note 1),"4 permutations of almost exact note beginning with 'basic angle of the initial production..."""
