noteID,note,association
10,Statistical process 1 (Accumulation) does not change units. It is recommended to use another parameter without the word “time-integrated” in its name and accumulation in PDT.,"[[4.2.0.18,6],[4.2.0.18,7],[4.2.0.18,8]]"
11,The sum of the water and ice fractions may exceed the total due to overlap between the volumes containing ice and those containing liquid water.,"[[4.2.0.6,47],[4.2.0.6,48],[4.2.0.6,49]]"
12,(see separate doc or pdf file),"[[3.6,1],[3.7,1]]"
13,Code figures 12 and 13 are intended in cases where code figures 0 and 2 may not be sufficient to indicate that significant post-processing has taken place on an initial analysis or forecast output.,"[[4.3,12],[4.3,13]]"
14,Conversion factor between “Specific activity concentration” (14) and “Air concentration” (10) is “mass density” [kg m–3].,"[[4.2.0.18,10],[4.2.0.18,14]]"
15,In relation to local coordinate axes at a cell edge.,"[[4.2.0.2,34],[4.2.0.2,35]]"
16,"It is recommended to use Snow melt rate instead (discipline 2, category 0, number 41).","[[4.2.0.1,16],[4.2.1.0,15]]"
17,Numbers 17 and 20 are deviations from the reference value of 1 000 kg m–3.,"[[4.2.10.4,17],[4.2.10.4,20]]"
18,The level is defined by a water property difference from the near-surface to the level. The near-surface is typically chosen at 10 m depth. The physical quantity used to compute the difference can be water density (σq) when using level type 169 or water potential temperature (θ) when using level type 170.,"[[4.5,170],[4.5,171]]"
19,The original data value is in the same units as the parameter defined by octets 10 and 11 of the product definition template.,"[[4.16,3],[4.16,4]]"
20,The term “number density” is used as well for “number concentration” (code number 59); conversion factor between “number density” (59) and “specific number concentration” (60) is“mass density” [kg m–3].,"[[4.2.0.20,59],[4.2.0.20,60]]"
21,The x- and y- components of surface stress are not necessarily equivalent to the u- and v- components (eastward/northward). The x- and y- components strictly follow the defined coordinate system which may or may not follow the eastward and northward directions.,"[[4.2.10.3,7],[4.2.10.3,8]]"
22,The x- and y- components of water velocity are not necessarily equivalent to the u- and v- components (eastward/northward). The x- and y- components strictly follow the defined coordinate system which may or may not follow the eastward and northward directions.,"[[4.2.10.4,25],[4.2.10.4,26]]"
23,Total precipitation/snowfall rate stands for the sum of convective and large-scale precipitation/snowfall rate.,"[[4.2.0.1,52],[4.2.0.1,53]]"
24,"
The Global Solar UVI is formulated using the International Commission on Illumination (CIE) reference action spectrum for UV-induced erythema on the human skin (ISO17166:1999/CIE S 007/E-1998). It is a measure of the UV radiation that is relevant to and defined for a horizontal surface. The UVI is a unitless quantity defined by the formula:𝐼𝐼𝑈𝑈𝑈𝑈 = 𝑘𝑘𝑒𝑒𝑒𝑒 ∙ 􀶱 𝐸𝐸𝜆𝜆400𝑛𝑛𝑛𝑛250𝑛𝑛𝑚𝑚∙ 𝑆𝑆𝑒𝑒𝑒𝑒(𝜆𝜆)𝑑𝑑𝑑𝑑where 𝐸𝐸𝜆𝜆 is the solar spectral irradiance expressed in W / (m2·nanometre) at wavelength λand 𝑑𝑑𝑑𝑑is the wave-length interval used in the summation. 𝑆𝑆𝑒𝑒𝑒𝑒 𝜆𝜆 is the erythema referenceaction spectrum, and 𝑘𝑘𝑒𝑒𝑒𝑒 is a constant equal to 40 m2 / W.","[[4.2.0.4,51]]"
25,A data field representing snow coverage by elevation portrays at which elevations there is a snow pack. The elevation values typically range from 0 to 90 in 100-metre increments. A value of 253 is used to represent a no-snow/no-cloud data point. A value of 254 is used to represent a data point at which snow elevation could not be estimated because of clouds obscuring the remote sensor (when using aircraft or satellite measurements).,"[[4.2.1.0,table]]"
26,A value strictly above 0.5 is treated as glacier. A value equal or below 0.5 is treated as land without glacier.,"[[4.2.2.5,0]]"
27,"Also called equidistant cylindrical, or Plate Carrée","[[3.1,0]]"
28,An initialized analysis is considered a zero-hour forecast.,"[[1.4,table]]"
29,Analysis increment represents analysis minus first guess,"[[4.3,20]]"
30,"Apparent temperature is the perceived outdoor temperature, caused by a combination of phenomena, such as air temperature, relative humidity and wind speed.","[[4.2.0.0,21]]"
31,"Assuming a cloud containing a bi-modal ice particle distribution, “cloud ice” refers to the small particle mode, whereas the large mode is usually called “snow”. (“Ice pellets”, in contrast, may refer to the precipitation of sleet, formed from freezing raindrops or refreezing (partially) melted snow flakes, or the precipitation of small hail.)","[[4.2.0.1,146]]"
32,"Bits 5 through 8 may be used to generate staggered grids, such as Arakawa grids (see Part B, GRIB Attachment II).","[[3.4,table]]"
33,Budget interpolation means a low-order interpolation method that quasi-conserves area averages. It would be appropriate for interpolating budget fields such as precipitation. This method assumes that the field really represents box averages/maxima/minima where each box extends halfway to its neighboring grid point in each direction. The method actually averages bilinearly interpolated values in a square array of points distributed within each output grid box.,"[[4.15,4]]"
34,"By convention, the flux sign is positive if downwards.","[[4.2,table]]"
35,"Can be secant or tangent, conical or bipolar","[[3.1,30]]"
36,Can be south or north,"[[3.1,20]]"
37,"Code figure 5 applies to instances where a single time subinterval was used to calculate the statistically processed field. The exact starting and ending times of the subinterval are not given, but it is known that it is contained inclusively between the beginning time and the ending time of the overall interval.","[[4.11,5]]"
38,Code figures 11–20 indicate all four layers were used and ground-based fog is beneath the lowest layer.,"[[4.203,table]]"
39,Data are in specified physical units.,"[[4.1.3,1]]"
40,"Data are numeric without units, although they might be given quantitative meaning through a code table defined external to this document. The emphasis is on a displayable “picture” of some phenomenon, perhaps with certain enhanced features. Generally, each datum is an unsigned, one octet integer, but some image format products might have another datum size. The size of a datum is indicated in section 5.","[[4.1.3,0]]"
41,"Decibel (dB) is a logarithmic measure of the relative power, or of the relative values of two flux densities, especially of sound intensities and radio and radar power densities. In radar meteorology, the logarithmic scale (dBZ) is used for measuring radar reflectivity factor(obtained from the American Meteorological Society Glossary of Meteorology).","[[4.2.0.16,table]]"
42,Defined by originating centre,"[[3.0,1]]"
43,"Definition of LPI after Lynn et al.: Lynn, B. and Y. Yair, 2010: Prediction of lightning flash density with the WRF model, Adv. Geosci., 23:11–16; Yair, Y., B. Lynn, C. Price, V. Kotroni,K. Lagouvardos, E. Morin, A. Mugnai and M. Llasat, 2010: Predicting the potential for lightning activity in Mediterranean storms based on the Weather Research and Forecasting (WRF) model dynamic and microphysical fields, Journal of Geophysical Research, 115,  D04205, doi:10.1029/2008JD010868.","[[4.2.0.17,1]]"
44,"Di and Dj are assumed to be positive, with the direction of i and j being given by bits 1 and 2.","[[3.4,table]]"
45,Eddy dissipation parameter is the third root of eddy dissipation rate [m2 s–3].,"[[4.2.0.19,30]]"
46,"Entries 9, 10, 11 and 12 are deprecated.","[[4.1.0,na]]"
47,Essentially a non-leap year,"[[1.6,2]]"
48,Extends the Gregorian calendar indefinitely in the past,"[[1.6,3]]"
49,Fog is defined as cloud cover in the lowest model level.,"[[4.2.0.6,50]]"
50,"It should be noted that depending on values of extreme (first/last) coordinates,and regardless of bitmap, effective number of points per row may be less than the number of points on the current circle.","[[3.11,na]]"
51,"For parameter 38 (Parameter category 0), ice volume is expressed as if the ice content were melted to liquid water and then its volume measured in the liquid state. This may be understood in the same manner as water equivalent snow depth.","[[4.2.2.0,38]]"
52,Further information concerning the wave parameters can be found in the Guide to Wave Analysis and Forecasting (WMO-No. 702).,"[[4.2.10.0,table]]"
53,"Higher values indicate that heat stress is important. Interpretation of values can vary among organizations and use. See example in the ISO certification (ISO 7243 1989, 2017, and Parsons 2013).","[[4.2.20.0,2]]"
54,"Hybrid height level (Code figure 118) can be defined as:z(k) = A(k) + B(k) x orog(k = 1,...,NLevels; orog = orography; z(k) = height in metres at level k)","[[4.5,table]]"
55,"Hybrid pressure level, for which Code figure 119 shall be used instead of 105, can be defined as:p(k) = A(k) + B(k) x sp(k = 1,...,NLevels; sp = surface pressure; p(k) = pressure at level k)","[[4.5,table]]"
56,i direction: west to east along a parallel or left to right along an x-axis.,"[[3.4,table]]"
57,Ice internal pressure or stress (Pa m) is the integrated pressure across the vertical thickness of a layer of ice. It is produced when concentrated ice reacts to external forces such as wind and ocean currents.,"[[4.2.10.2,9]]"
58,"If any of bits 5, 6, 7 or 8 are set, Di and Dj are not optional.","[[3.4,table]]"
59,"If bit number 4 is set, the first row scan is as defined by previous flags.","[[3.4,table]]"
60,"In astronomy, sky transparency means the effect on the viewing experience caused by the scattering of light through atmospheric water vapour, aerosols or other constituents. Ideal Transparency conditions produce a black night sky conducive to viewing faint astronomical objects, almost like being in outer space. In poor transparency conditions, which may occur even in cloud-free conditions, the deep sky background is greyish (not black), faint details are washed out and contrast is reduced.","[[4.2.0.19,38]]"
61,Initialized analysis increment represents initialized analysis minus analysis,"[[4.3,21]]"
62,It is recommended to use parameter 148.,"[[4.2.0.1,62]]"
63,"It should be noted that the reference for ""minimum of all ensemble members"" and ""maximum of all ensemble members"" is the set of ensemble members and not a time interval and should not be confused with the maximum and minimum described by PDT 4.8.","[[4.7,8]]"
65,"j direction: south to north along a meridian, or bottom to top along a y-axis.","[[3.4,table]]"
66,"La1 and Lo1 define the first row, which is an odd row.","[[3.4,table]]"
67,"Large anomaly index is defined as {(number of members whose anomaly is higher than 0.5 x SD) – (number of members whose anomaly is lower than –0.5 x SD)} /(number of members) at each grid point, where SD is defined as observed climatological standard deviation.","[[4.7,5]]"
68,"Negative values associated to this coordinate will indicate depth below ground surface.If values are all below surface, use of entry 106 is recommended, with positive coordinate values instead.","[[3.15,103]]"
69,Normal flux is on a surface lifted to be normal to sun rays.,"[[4.2.0.4,54]]"
70,Numbers 31 to 40 are deprecated.,"[[4.2.3.2,table]]"
71,Parameters from 10 onward may be used in combination with product definition templates 4.40– 4.43 and Common Code table C–14 (Code table 4.230) to represent any type of radioisotope.,"[[4.2.0.18,table]]"
72,Performs a budget interpolation at the grid point nearest to the nominal grid point.,"[[4.15,6]]"
73,"Remotely sensed snow cover is expressed as a field of dimensionless, thematic values. The currently accepted values are for no-snow/no-cloud, 50, for clouds, 100, and for snow, 250 (see Code table 4.215).","[[4.2.1.0,table]]"
74,"Seeing means the steadiness or turbulence of the atmosphere in the context of astronomical observation. Turbulence causes rapid random fluctuations of the optical path through the atmosphere. The twinkling of stars, for example, occurs in poor seeing conditions.","[[4.2.0.19,39]]"
75,"Sigma height level is the vertical model level of the height-based terrain-following coordinate (Gal-Chen and Somerville, 1975). The value of the level = (height of the level – height of the terrain) / (height of the top level – height of the terrain), which is ≥ 0 and ≤ 1.","[[4.5,115]]"
76,Snow evaporation is the accumulated amount of water that has evaporated from snow from within the snow covered area of a grid-box.,"[[4.2.0.1,148]]"
77,"Snow water equivalent per cent of normal is stored in per cent of normal units. For example,a value of 110 indicates 110 per cent of the normal snow water equivalent for a given depth of snow.","[[4.2.1.0,table]]"
78,Supercooled large droplets (SLD) are defined as those with a diameter greater than 50 microns.,"[[4.2.0.19,23]]"
79,Surface roughness for heat is a measure of the surface resistance to heat transfer.,"[[4.2.0.2,47]]"
80,Surface roughness for moisture is a measure of the surface resistance to moisture transfer.,"[[4.2.0.2,48]]"
81,Temperature at the base of the thermal skin layer.,"[[4.2.3.5,2]]"
82,Temperature of the water across a very small depth (approximately the upper 20 micrometers).,"[[4.2.3.5,1]]"
83,Temperature of the water column free of diurnal temperature variability or equal to the ST sub-skin in the absence of any diurnal signal.,"[[4.2.3.5,3]]"
84,"The definition of a generalized vertical height coordinate implies the absence of coordinate values in Section 4 but the presence of an external 3D-GRIB message that specifies the height of every model grid point in metres (see Notes to Section 4 in the section above entitled Specification of Octet Contents), i.e., this GRIB message will contain the field with discipline = 0, category = 3, parameter = 6 (Geometric height).","[[4.5,150]]"
85,The Eta vertical coordinate system involves normalizing the pressure at some point on a specific level by the mean sea-level pressure at that point.,"[[3.15,111]]"
86,The Eta vertical coordinate system involves normalizing the pressure at some point on a specific level by the mean sea-level pressure at that point.,"[[4.5,table]]"
87,"The Fosberg index denotes the potential influence of weather on a wildland fire. It takes into account the combined effects of temperature, wind speed, relative humidity and precipitation. Higher values indicate a higher potential impact.","[[4.2.2.4,4]]"
90,"The listed units for this parameter appear not to be appropriate for evapotranspiration.Instead, it is recommended to use parameter 39 with statistical process 1 (accumulation) in order to report evapotranspiration in units of kg m–2.","[[4.2.2.0,6]]"
91,"The listed units for this parameter appear to be inappropriate for the potential evaporation rate. Instead, it is recommended to use parameter 143.","[[4.2.0.1,41]]"
92,"The original data value (Y in the note 4 of Regulation 92.9.4) has units of Code table 4.2 multiplied by second, unless otherwise noted on Code table 4.2.","[[4.10,1]]"
93,The original data value has squared units of Code table 4.2.,"[[4.10,7]]"
94,"The original data value is a non-dimensional number from 0 to 1, where 0 indicates no confidence and 1 indicates maximal confidence.","[[4.16,0]]"
95,The original data value is a non-dimensional number without units.,"[[4.16,2]]"
96,The original data value is defined by Code table 4.244,"[[4.16,1]]"
97,The original data value is non-dimensional number without units.,"[[4.10,9]]"
98,"The ratio of the radiant flux reflected by a surface to that reflected into the same reflected-beam geometry and wavelength range by an ideal (lossless) and diffuse(Lambertian) standard surface, irradiated under the same conditions.","[[4.2.3.1,27]]"
99,"The sea-ice level represents a sea-ice model level for which the depth is not constant across the model domains. The depth in metres of the level is provided by another GRIB message with the parameter “sea-ice thickness” with discipline 10, category 2 and parameter number 1.","[[4.5,152]]"
100,"The soil level represents a model level for which the depth is not constant across the model domain. The depth in metres of the level is provided by another GRIB message with the parameter ""soil depth"" with discipline 2, category 3 and parameter number 27.","[[4.5,151]]"
101,The solar flux per unit area received from a solid angle of 2π sr on a horizontal surface.,"[[4.2.3.6,0]]"
102,"The solar flux per unit area received from a solid angle of 2π sr, except for the solid angle of the sun's disc, on a horizontal surface.","[[4.2.3.6,4]]"
103,The solar flux per unit area received from the solid angle of the sun’s disc on a surface normal to the sun direction.,"[[4.2.3.6,2]]"
104,"The total lightning flash density is the sum of cloud-to-ground and cloud-to-cloud lightning flash densities (see Lopez, P., 2016: A lightning parameterization for the ECMWF Integrated Forecasting System, Monthly Weather Review, 144, 3057–3075).","[[4.2.0.17,4]]"
105,The value for the constant direction increment Di (or Dx) in the accompanying grid definition template should be set to all ones (missing).,"[[3.11,3]]"
106,Theoretical temperature at the precise air-sea interface.,"[[4.2.3.5,0]]"
107,"This category is no longer populated, please use ""Product discipline 0 – Meteorological products, parameter category 20: atmospheric chemical constituents.","[[4.2.0.13,table]]"
108,This code table is deprecated. See Common Code table C–0 instead.,"[[1.0,table]]"
109,This method assumes that each field really represents box averages/maxima/minima where each box extends halfway to its neighboring grid point in each direction to represent averages/maxima/minima of values from the source grid with no interpolation.,"[[4.15,0]]"
110,"This parameter is described in more detail by (a) Lee, S. and I.M. Held, 1993: Baroclinic wave packets in models and observations. J. Atmos. Sci., 50:1413–1428, (b) Chang, E.K.M., 1993: Downstream development of baroclinic waves as inferred from regression analysis.J. Atmos. Sci., 50:2038–2053, (c) Archambault, H.M., D. Keyser and L.F. Bosart, 2010:Relationships between large-scale regime transitions and major cool-season precipitation events in the northeastern United States. Mon Wea. Review, 138:3454–3473, and(d) Zimin, A.V., I. Szunyogh, B.R. Hung and E. Orr, 2006: Extracting envelopes of non-zonally propagating Rossby wave packets. Mon. Wea. Review, 134:1329–1333.","[[4.2.0.2,36]]"
111,Time integral of diffuse solar irradiance.,"[[4.2.3.6,5]]"
112,Time integral of direct solar irradiance.,"[[4.2.3.6,3]]"
113,Time integral of global solar irradiance.,"[[4.2.3.6,1]]"
114,"Top of atmosphere radiance observed by a sensor, multiplied by pi and divided by the in-band solar irradiance.","[[4.2.3.1,29]]"
115,"Total solid precipitation includes the sum of all types of solid water, e.g. graupel, snow and hail.","[[4.2.0.1,128]]"
116,"Values of N(m) for common truncation cases:Triangular: M = J = K, N(m) = J Rhomboidal: K = J + M, N(m) = J + m Trapezoidal: K = J, K > M, N(m) = J","[[3.7,1]]"
117,WGS-84 is a geodetic system that uses IAG-GRS80 as a basis.,"[[3.2,10]]"
118,"When a new category is to be added to Code table 4.1 and more than one discipline applies, the choice of discipline should be made based on the intended use of the product.","[[4.1,table]]"
119,"When a new parameter is to be added to Code table 4.2 and more than one category applies, the choice of category should be made based on the intended use of the product. The discipline and category are an important part of any product definition, so it is possible to have the same parameter name in more than one category. For example, “water temperature” indiscipline 10 (oceanographic products), category 4 (subsurface properties) is used for reporting water temperature in the ocean or open sea, and is not the same as “water temperature” indiscipline 1 (hydrological products), category 2 (inland water and sediment properties), which is used for reporting water temperature in freshwater lakes and rivers.","[[4.2,table]]"
120,"When a non-missing value is used from this code table, the original data value is a quality value associated with the parameter defined by octets 10 and 11 of the product definition template.","[[4.16,table]]"
121,"With respect to code figures 0, 1, 3, 6 and 7, coordinates can only be unambiguously interpreted, if the coordinate reference system in which they are embedded is known. Therefore, defining the shape of the Earth alone without coordinate system axis origins is ambiguous. Generally, the prime meridian defined in the geodetic system WGS-84 can be safely assumed to be the longitudinal origin. However, because these code figures do not specify the longitudinal origin explicitly, it is suggested to contact the originating centre if high precision coordinates are needed, in order to obtain the precise details of the coordinate system used (effective as from 16 November 2016).","[[3.2,0],[3.2,1],[3.2,3],[3.2,6],[3.2,7]]"
122,<<note has images of formulas>>,"[[4.240,1],[4.240,2],[4.240,3],[4.240,4],[4.240,5],[4.240,6],[4.240,7]]"
