noteID,note,Association
10,"Best practice follows for choosing the B pre-processing parameter.(a) If the data set minimum value is positive, B can be safely put to zero.(b) If the data set minimum is zero, all values must be scaled to become greater than zero and B can be equal to the minimum positive value in the data set.","[GRIB2_Template_5_61_DataRepresentationTemplate_en, unspecified]"
11,Bit 2 of the projection flag is not applicable to the polar stereographic projection.,"[GRIB2_Template_3_20_GridDefinitionTemplate_en, unspecified]"
12,Data shall be packed using data template 7.,"[GRIB2_Template_5_61_DataRepresentationTemplate_en, unspecified]"
13,"Extra descriptors related to spatial differencing are added before the splitting descriptors, to reflect the separation between the two approaches. It enables to share software parts between cases with and without spatial differencing.","[GRIB2_Template_7_3_DataTemplate_en, unspecified]"
14,"For ""satellite series of band nb"", ""satellite numbers of band nb"" and ""instrument types of band nb"", it is recommended to encode the values as per BUFR Code tables 0 02 020, 0 01 007 (Common Code table C-5) and 0 02 019 (Common Code table C-8), respectively.","[[GRIB2_Template_4_30_ProductDefinitionTemplate_en, unspecified], [GRIB2_Template_4_31_ProductDefinitionTemplate_en, unspecified], [GRIB2_Template_4_32_ProductDefinitionTemplate_en, unspecified], [GRIB2_Template_4_35_ProductDefinitionTemplate_en, unspecified]]"
15,"For data on a quasi-regular grid, where all the rows or columns do not necessarily have the same number of grid points, either Ni (octets 31-34) or Nj (octets 35-38) and the corresponding Di (octets 64-67) or Dj (octets 68-71) shall be coded with all bits set to 1 (missing). The actual number of points along each parallel or meridian shall be coded in the octets immediately following the grid definition template (octets [xx+1]-nn), as described in the description of the grid definition section","[GRIB2_Template_3_0_GridDefinitionTemplate_en, octet]"
16,"For differencing of order n, the first n values in the array that are not missing are set to zero in the packed array. These dummy values are not used in unpacking.","[GRIB2_Template_5_3_DataRepresentationTemplate_en, unspecified]"
17,"For groups with a constant value, associated field width is 0, and no incremental data are physically present.","[GRIB2_Template_7_2_DataTemplate_en, unspecified]"
18,"For more details, see Part B, GRIB Attachment I.","[GRIB2_Template_3_100_GridDefinitionTemplate_en, unspecified]"
19,"For more information, see Part B, GRIB Attachment III.","[[GRIB2_Template_4_57_ProductDefinitionTemplate_en, unspecified], [GRIB2_Template_4_58_ProductDefinitionTemplate_en, unspecified], [GRIB2_Template_4_67_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_68_ProductDefinitionTemplate_en, octet]]"
20,"For more information, see Part B, GRIB Attachment IV.","[[GRIB2_Template_4_55_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_56_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_59_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_62_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_63_ProductDefinitionTemplate_en, octet]]"
21,"For most templates, details of the packing process are described in Regulation 92.9.4.","[[GRIB2_Template_5_0_DataRepresentationTemplate_en, template], [GRIB2_Template_5_1_DataRepresentationTemplate_en, template], [GRIB2_Template_5_2_DataRepresentationTemplate_en, template], [GRIB2_Template_5_3_DataRepresentationTemplate_en, template], [GRIB2_Template_5_40_DataRepresentationTemplate_en, template], [GRIB2_Template_5_41_DataRepresentationTemplate_en, template], [GRIB2_Template_5_42_DataRepresentationTemplate_en, template], [GRIB2_Template_5_50_DataRepresentationTemplate_en, template], [GRIB2_Template_5_51_DataRepresentationTemplate_en, template], [GRIB2_Template_7_0_DataTemplate_en, template], [GRIB2_Template_7_1_DataTemplate_en, template], [GRIB2_Template_7_3_DataTemplate_en, template], [GRIB2_Template_7_40_DataTemplate_en, template], [GRIB2_Template_7_41_DataTemplate_en, template], [GRIB2_Template_7_50_DataTemplate_en, template], [GRIB2_Template_7_51_DataTemplate_en, template]]"
22,"For orthographic view from infinite distance, the value of Nr should be encoded as missing (all bits set to 1).","[GRIB2_Template_3_90_GridDefinitionTemplate_en, octet]"
23,"For row by row packing with a bit-map, there should always be as many groups as rows. In case of rows with only missing values, all associated descriptors should be coded as zero.","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
24,"For simplicity, image data should be packed specifying a single component (i.e. greyscale image) instead of a multicomponent colour image.","[GRIB2_Template_7_40_DataTemplate_en, unspecified]"
25,"For some spectral representations, the (0.0) coefficient represents the mean value of the parameter represented.","[GRIB2_Template_5_50_DataRepresentationTemplate_en, unspecified]"
26,For the list of Ni longitude bounds and Nj latitude bounds at the end of the section: ii = 60 + 4Ni and jj = 60 + 4Ni +4Nj,"[GRIB2_Template_3_5_GridDefinitionTemplate_en, octet]"
27,"General reference information pertaining to the projections used for satellite data can be found in Section 4.4 of ""LRIT/HRIT Global Specification"", Doc. No. CGMS 03, issue 2.6, dated 12 August 1999 (http://www.eumetsat.int/Home/Main/AboutEUMETSAT/International Relations/CGMS/groups/cps/documents/document/pdf_cgms_03.pdf, page 20 onwards).","[GRIB2_Template_3_90_GridDefinitionTemplate_en, unspecified]"
28,Grid length is in units of 10-3 m at the latitude specified by LaD.,"[[GRIB2_Template_3_10_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_20_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_30_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_31_GridDefinitionTemplate_en, octet]]"
29,"Grid lengths are in units of 10–3 m, at the latitude specified by the standard parallel.","[GRIB2_Template_3_140_GridDefinitionTemplate_en, octet]"
30,Group descriptors mentioned above may not be physically present; if associated field width is 0.,"[[GRIB2_Template_7_1_DataTemplate_en, unspecified], [GRIB2_Template_7_2_DataTemplate_en, unspecified]]"
31,"Group lengths have no meaning for row by row packing, where groups are coordinate lines (so the grid description section and possibly the bit-map section are enough); for consistency, associated field width and reference should then be encoded as 0.","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
32,"Group lengths have no meaning for row by row packing; for consistency, associated field width should then been coded as 0. So no specific test for row by row case is mandatory at decoding software level to handle encoding/decoding of group descriptors.","[GRIB2_Template_7_2_DataTemplate_en, unspecified]"
33,Hours greater than 65534 will be coded as 65534.,"[[GRIB2_Template_4_0_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_1_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_10_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_1000_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_1001_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_1002_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_11_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_1100_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_1101_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_12_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_13_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_14_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_15_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_2_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_3_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_32_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_33_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_34_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_4_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_40_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_41_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_42_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_43_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_44_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_45_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_46_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_47_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_48_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_49_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_5_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_51_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_55_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_56_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_57_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_58_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_59_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_6_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_60_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_61_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_62_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_63_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_67_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_68_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_7_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_70_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_71_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_72_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_73_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_76_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_77_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_78_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_79_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_8_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_80_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_81_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_82_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_83_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_84_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_85_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_86_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_87_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_9_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_91_ProductDefinitionTemplate_en, octet]]"
34,"If Latin 1 = Latin 2, then the projection is on a tangent cone.","[[GRIB2_Template_3_30_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_31_GridDefinitionTemplate_en, unspecified]]"
35,"If necessary, group widths and/or field width of group references may be enlarged to avoid ambiguities between missing value indicator(s) and true data.","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
36,"If Number of modes (N) > 1, then between x N fields with mode number l = 1, …, N define the distribution function. x is the number of variable parameters in the distribution function.","[[GRIB2_Template_4_57_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_58_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_67_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_68_ProductDefinitionTemplate_en, octet]]"
37,"If octet 20 of data representation template 5.41 specifies the data are packed into either 1, 2, 4, 8, or 16 bits, then encode the ""image"" as a greyscale image. If octet 20 specifies 24 bits, encode the ""image"" as a Red-Green-Blue (RGB)colour image with 8-bit depth for each colour component, and finally if octet 20 is 32, encode the ""image"" as an RGBcolour image with an alpha sample using 8-bit depth for each of the four components.","[GRIB2_Template_7_41_DataTemplate_en, unspecified]"
38,"If primary missing values are used, such values are encoded within appropriate group with all bits set to 1 at packed data level.","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
39,"If secondary missing values are used, such values are encoded within appropriate group with all bits set to 1, except the last one set to 0, at packed data level.","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
40,"If substitute value(s) are specified, type of content should be consistent with original field values (floating-point - and then IEEE 32-bit encoded-, or integer).","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
41,"In most cases, multiplying Ni (octets 31-34) by Nj (octets 35-38) yields the total number of points in the grid. However, this may not be true if bit 8 of the scanning mode flags (octet 72) is set to 1.","[GRIB2_Template_3_0_GridDefinitionTemplate_en, unspecified]"
42,"It is assumed that the satellite is at its nominal position, i.e. it is looking directly at its sub-satellite point.","[GRIB2_Template_3_90_GridDefinitionTemplate_en, unspecified]"
43,It is recommended not to use this template. PDT 4.48 should be used instead with optical wavelength range set to missing.,"[GRIB2_Template_4_44_ProductDefinitionTemplate_en, template]"
44,It is recommended not to use this template. Product definition template 4.84 should be used instead because it contains an additional octet to specify the type of generating process.,"[GRIB2_Template_4_83_ProductDefinitionTemplate_en, template]"
45,It is recommended to use unsigned direction increments.,"[[GRIB2_Template_3_0_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_40_GridDefinitionTemplate_en, octet]]"
46,It is the angle between the increasing y-axis and the meridian 180°E if the sub-satellite point is the North Pole; or the meridian 0° if the sub-satellite point is the South Pole.,"[GRIB2_Template_3_90_GridDefinitionTemplate_en, octet]"
47,JPEG 2000 should not be used for bit-mapped or quasi-regular grid data.,"[GRIB2_Template_5_40_DataRepresentationTemplate_en, unspecified]"
48,"Library flags governing data type, and storage and processing parameters. For further information, see Rosenhauer,Mathis. “Flags.” libaec – Adaptive Entropy Coding library. German Climate Computing Centre (DeutschesKlimarechenzentrum, DKRZ), 12 May 2016. Web. 13 June 2016.<http:/gitlab.dkrz.de/k202009/libaec/blob/v0.3.3/README.md#flags>.","[GRIB2_Template_5_42_DataRepresentationTemplate_en, octet]"
49,"Limited to the range of 0 to 90 degrees; if the angle of orientation of the grid is neither 0 nor 90 degrees, Di and Dj must be equal to each other.","[GRIB2_Template_3_10_GridDefinitionTemplate_en, unspecified]"
50,Limited to the range of 0 to 90 degrees.,"[GRIB2_Template_3_61_GridDefinitionTemplate_en, octet]"
51,LoV is the longitude value of the meridian which is parallel to the y-axis (or columns of the grid) along which latitude increases as the y-coordinate increases (the orientation longitude may or may not appear on a particular grid).,"[[GRIB2_Template_3_20_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_30_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_31_GridDefinitionTemplate_en, unspecified]]"
52,Management of explicitly missing values is an alternative to bit-map use within Section 6; it is intended to reduce the whole GRIB message size.,"[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
53,"Management of widths into a reference and increments, together with management of lengths as scaled incremental values, are intended to save descriptor size (which is an issue as far as compression gains are concerned).","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
54,Matrices restricted to scanning in the +i direction (left to right) and in the –j direction (top to bottom).,"[GRIB2_Template_5_1_DataRepresentationTemplate_en, unspecified]"
55,"Matrix bit maps will be present only if indicated by octet 22. If present, there shall be one bit map for each grid point with data values, as defined by the primary bit map in Section 6, each of length (NR x NC) bits: a bit set to 1 will indicate a data element at the corresponding location within the matrix. Bit maps shall be represented end-to-end,without regard for octet boundaries; the last bit map shall, if necessary, be followed by bits set to zero to fill any partially used octet.","[GRIB2_Template_5_1_DataRepresentationTemplate_en, unspecified]"
56,Negative values of E or D shall be represented according to Regulation 92.1.5.,"[[GRIB2_Template_5_0_DataRepresentationTemplate_en, unspecified], [GRIB2_Template_5_40_DataRepresentationTemplate_en, unspecified], [GRIB2_Template_5_41_DataRepresentationTemplate_en, unspecified], [GRIB2_Template_5_50_DataRepresentationTemplate_en, unspecified]]"
57,"Number of octets associated with each value of the unpacked subset (I) is defined in Code table 5.7, according to the actual value in octet 35 of data representation template 5.51.","[GRIB2_Template_7_51_DataTemplate_en, unspecified]"
58,"NUT is the number of used different spatial tiles, defining the cover structure of a point. As each of these tiles has one or more different tile attributes A(NAT(ITN)), (ITN=1,…,NUT), for example, (unmodified, snow-covered,…),......","[[GRIB2_Template_4_55_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_56_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_59_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_62_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_63_ProductDefinitionTemplate_en, octet]]"
59,Octets 69–72 shall be set to all ones (missing) to indicate the orthographic view (from infinite distance).,"[GRIB2_Template_3_90_GridDefinitionTemplate_en, unspecified]"
60,Only parameters expressing fractions or percentages can be used in this template. Code tables shall state clearly that they are meant to be used in partitioned parameters context.,"[[GRIB2_Template_4_53_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_54_ProductDefinitionTemplate_en, octet]]"
61,"Overall minimum will be negative in most cases. First bit should indicate the sign: 0 if positive, 1 if negative.","[GRIB2_Template_7_3_DataTemplate_en, unspecified]"
62,"PNG does not support all bit-depths in an image, so it is necessary to define which depths can be used and how they are to be treated. For greyscale images, PNG supports depths of 1, 2, 4, 8 or 16 bits. Red-Green-Blue (RGB) colour images can have depths of 8 or 16 bits with an optional alpha sample. Valid values for octet 20 can be:1, 2, 4, 8, or 16 : Treat as greyscale image24 : Treat as RGB colour image (each component having 8-bit depth)32 : Treat as RGB w/ alpha sample colour image (each component having 8-bit depth)","[GRIB2_Template_5_41_DataRepresentationTemplate_en, octet]"
63,Reference = reference time (section 1) + forecast range (PDT) + offset and increments from reference time (GDT).,"[GRIB2_Template_4_1101_ProductDefinitionTemplate_en, octet]"
64,"Referring to the notation in Note 1 of data representation template 5.3, at order 1, the values stored in octets 6–ww areg1 and gmin. At order 2, the values stored are h1, h2, and hmin.","[GRIB2_Template_7_3_DataTemplate_en, octet]"
65,Regulation 92.1.6 applies.,"[GRIB2_Template_3_5_GridDefinitionTemplate_en, octet]"
66,"Removal of the real part of (0.0) coefficient from packed data is intended to reduce the variability of the coefficients, in order to improve packing accuracy.","[GRIB2_Template_5_50_DataRepresentationTemplate_en, unspecified]"
67,"Scaled group lengths, if present, are encoded for each group. But the true last group length (unscaled) should be taken from data representation template.","[GRIB2_Template_7_2_DataTemplate_en, unspecified]"
68,See data template 7.2 and associated Notes for complementary information.,"[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
69,See data template 7.3 and associated Notes for complementary information.,"[GRIB2_Template_5_3_DataRepresentationTemplate_en, unspecified]"
70,Set code to missing if analysis,"[[GRIB2_Template_4_88_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_93_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_94_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_95_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_97_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_98_ProductDefinitionTemplate_en,octet]]"
71,"Some simple coordinate functional forms are tabulated in Code table 5.2. Where a more complex coordinate function applies, the coordinate values shall be explicitly denoted by the inclusion of the actual set of values rather than the coefficients. This shall be indicated by a code figure 0 from Code table 5.2; the number of explicit values coded shall be equal to the appropriate dimension of the matrix for which values are presented and they shall follow octet 36 inplace of the coefficients.","[GRIB2_Template_5_1_DataRepresentationTemplate_en, unspecified]"
72,"Spatial differencing is a pre-processing before group splitting at encoding time. It is intended to reduce the size of sufficiently smooth fields, when combined with a splitting scheme as described in data representation template 5.2. Atorder 1, an initial field of values f is replaced by a new field of values g, where g1 = f1, g2 = f2 – f1, …, gn = fn – fn–1. Atorder 2, the field of values g is itself replaced by a new field of values h, where h1 = f1, h2 = f2, h3 = g3 – g2, …, hn = gn –gn–1. To keep values positive, the overall minimum of the resulting field (either gmin or hmin) is removed. At decoding time, after bit string unpacking, the original scaled values are recovered by adding the overall minimum and summing up recursively.","[GRIB2_Template_5_3_DataRepresentationTemplate_en, unspecified]"
73,The apparent angular size of the Earth will be given by 2 x arcsin ((106)/Nr).,"[GRIB2_Template_3_90_GridDefinitionTemplate_en, octet]"
74,"The compression ratio M:1 (e.g. 20:1) specifies that the encoded stream should be less than ((1/M) x depth x number of data points) bits, where depth is specified in octet 20 and the number of data points in octets 6–9 of the data representation section.","[GRIB2_Template_5_40_DataRepresentationTemplate_en, octet]"
75,"The Consultative Committee for Space Data Systems (CCSDS) recommended standard for lossless data compression is the standard used by space agencies for the compression of scientific data transmitted from satellites and other space instruments. CCSDS recommended standard for lossless data compression is a very fast predictive compression algorithm based on the extended-Rice algorithm. It uses Golomb–Rice codes for entropy coding. The sequence of prediction errors is divided into blocks. Each block is compressed using a two-pass algorithm. In the first pass, the best coding method for the whole block is determined. In the second pass, the output of the marker of the selected coding method is encoded as ancillary information along with prediction errors.The coding methods include:• Golomb–Rice codes of a chosen rank• Unary code for transformed pairs of prediction errors• Fixed-length natural binary code if the block is found to be incompressible• Signalling to the decoder empty block if all prediction errors are zeroes","[GRIB2_Template_5_42_DataRepresentationTemplate_en, unspecified]"
76,"The essence of the complex packing method is to subdivide a field of values into NG groups, where the values in each group have similar sizes. In this procedure, it is necessary to retain enough information to recover the group lengths upon decoding. The NG group lengths for any given field can be described by Ln = ref + Kn x len_inc, n = 1, NG, where ref is given by octets 38–41 and len_inc by octet 42. The NG values of K (the scaled group lengths) are stored in the datasection, each with the number of bits specified by octet 47. Since the last group is a special case which may not be able to be specified by this relationship, the length of the last group is stored in octets 43–46.","[[GRIB2_Template_5_2_DataRepresentationTemplate_en, octet], [GRIB2_Template_7_2_DataTemplate_en, octet]]"
77,The exponent of 3 for the number of divisions of triangle sides is used only with a value of either 0 or 1.,"[GRIB2_Template_3_100_GridDefinitionTemplate_en, unspecified]"
78,The group length (L) is the number of values in a group.,"[GRIB2_Template_5_2_DataRepresentationTemplate_en, octet]"
79,The group width is the number of bits used for every value in a group.,"[GRIB2_Template_5_2_DataRepresentationTemplate_en, octet]"
